Entry	yourlist:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	Entry name	Gene ontology IDs	Status	Protein names	Gene names	Organism	Length	isomap:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	yourlist:M201803118A530B6CA0138AFAA6D2B97CE8C2A9240BFF3DO	Annotation
A0A0M4EA66	CP012524	A0A0M4EA66_DROBS	GO:0003723	unreviewed	Eap	Dbus_chr2Rg1487	Drosophila busckii (Fruit fly)	257		CP012524	1 out of 5
A0A0M4EA75	CP012524	A0A0M4EA75_DROBS	GO:0016021	unreviewed	CG30423	Dbus_chr2Rg1500	Drosophila busckii (Fruit fly)	112		CP012524	1 out of 5
A0A0M4EA85	CP012524	A0A0M4EA85_DROBS		unreviewed	CG11866 (Fragment)	Dbus_chr2Rg1513	Drosophila busckii (Fruit fly)	553		CP012524	1 out of 5
A0A0M4EA96	CP012524	A0A0M4EA96_DROBS	GO:0004222; GO:0016021; GO:0071586	unreviewed	Ste24c	Dbus_chr2Rg1525	Drosophila busckii (Fruit fly)	403		CP012524	1 out of 5
A0A0M4EAA3	CP012524	A0A0M4EAA3_DROBS	GO:0003824; GO:0008152	unreviewed	Acsl	Dbus_chr2Rg1537	Drosophila busckii (Fruit fly)	715		CP012524	1 out of 5
A0A0M4EAB1	CP012524	A0A0M4EAB1_DROBS		unreviewed	CG30108 (Fragment)	Dbus_chr2Rg1550	Drosophila busckii (Fruit fly)	85		CP012524	1 out of 5
A0A0M4EAC0	CP012524	A0A0M4EAC0_DROBS	GO:0006952	unreviewed	Def	Dbus_chr2Rg1563	Drosophila busckii (Fruit fly)	92		CP012524	1 out of 5
A0A0M4EAC7	CP012524	A0A0M4EAC7_DROBS	GO:0004725	unreviewed	PTP-ER	Dbus_chr2Rg1575	Drosophila busckii (Fruit fly)	1324		CP012524	1 out of 5
A0A0M4EAD3	CP012524	A0A0M4EAD3_DROBS	GO:0004222; GO:0008270; GO:0031012	unreviewed	Mmp1	Dbus_chr2Rg1587	Drosophila busckii (Fruit fly)	590		CP012524	2 out of 5
A0A0M4EAE1	CP012524	A0A0M4EAE1_DROBS		unreviewed	CG12826	Dbus_chr2Rg1600	Drosophila busckii (Fruit fly)	136		CP012524	1 out of 5
A0A0M4EAE9	CP012524	A0A0M4EAE9_DROBS		unreviewed	Vps13	Dbus_chr2Rg1613	Drosophila busckii (Fruit fly)	3313		CP012524	1 out of 5
A0A0M4EAF6	CP012524	A0A0M4EAF6_DROBS	GO:0016021; GO:0022857	unreviewed	MFS16	Dbus_chr2Rg1625	Drosophila busckii (Fruit fly)	542		CP012524	1 out of 5
A0A0M4EAG3	CP012524	A0A0M4EAG3_DROBS	GO:0008418	unreviewed	SP2637	Dbus_chr2Rg1637	Drosophila busckii (Fruit fly)	310		CP012524	1 out of 5
A0A0M4EAH1	CP012524	A0A0M4EAH1_DROBS	GO:0006633; GO:0016021; GO:0102336; GO:0102337; GO:0102338; GO:0102756	unreviewed	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase) (Fragment)	Dbus_chr2Rg1650	Drosophila busckii (Fruit fly)	257		CP012524	2 out of 5
A0A0M4EAI0	CP012524	A0A0M4EAI0_DROBS		unreviewed	CheB42b	Dbus_chr2Rg1663	Drosophila busckii (Fruit fly)	96		CP012524	1 out of 5
A0A0M4EAI4	CP012524	A0A0M4EAI4_DROBS	GO:0016021	unreviewed	CG8785	Dbus_chr2Rg1675	Drosophila busckii (Fruit fly)	474		CP012524	1 out of 5
A0A0M4EAJ2	CP012524	A0A0M4EAJ2_DROBS		unreviewed	CG34460	Dbus_chr2Rg1687	Drosophila busckii (Fruit fly)	212		CP012524	1 out of 5
A0A0M4EAK0	CP012524	A0A0M4EAK0_DROBS		unreviewed	CG30122	Dbus_chr2Rg1700	Drosophila busckii (Fruit fly)	1252		CP012524	1 out of 5
A0A0M4EAK8	CP012524	A0A0M4EAK8_DROBS		unreviewed	FLASH	Dbus_chr2Rg1713	Drosophila busckii (Fruit fly)	1241		CP012524	1 out of 5
A0A0M4EAL5	CP012524	A0A0M4EAL5_DROBS	GO:0004185	unreviewed	Carboxypeptidase (EC 3.4.16.-)	Dbus_chr2Rg1725	Drosophila busckii (Fruit fly)	467		CP012524	1 out of 5
A0A0M4EAL7	CP012524	A0A0M4EAL7_DROBS	GO:0004984; GO:0005549; GO:0016021	unreviewed	Or42a	Dbus_chr2Rg6	Drosophila busckii (Fruit fly)	188		CP012524	1 out of 5
A0A0M4EAM4	CP012524	A0A0M4EAM4_DROBS	GO:0004721	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	Dbus_chr2Rg1737	Drosophila busckii (Fruit fly)	269		CP012524	1 out of 5
A0A0M4EAM7	CP012524	A0A0M4EAM7_DROBS		unreviewed	Maker0	Dbus_chr2Rg19	Drosophila busckii (Fruit fly)	414		CP012524	1 out of 5
A0A0M4EAN4	CP012524	A0A0M4EAN4_DROBS	GO:0006520; GO:0016831; GO:0030170	unreviewed	Tdc2	Dbus_chr2Rg1750	Drosophila busckii (Fruit fly)	636		CP012524	1 out of 5
A0A0M4EAN5	CP012524	A0A0M4EAN5_DROBS	GO:0005524; GO:0006464; GO:0008641	unreviewed	Uba1	Dbus_chr2Rg31	Drosophila busckii (Fruit fly)	975		CP012524	1 out of 5
A0A0M4EAP3	CP012524	A0A0M4EAP3_DROBS	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037	unreviewed	Cyp6a8 (Fragment)	Dbus_chr2Rg1763	Drosophila busckii (Fruit fly)	508		CP012524	1 out of 5
A0A0M4EAP4	CP012524	A0A0M4EAP4_DROBS		unreviewed	Hebe	Dbus_chr2Rg44	Drosophila busckii (Fruit fly)	446		CP012524	1 out of 5
A0A0M4EAQ1	CP012524	A0A0M4EAQ1_DROBS	GO:0006464; GO:0008641	unreviewed	Aos1 (Fragment)	Dbus_chr2Rg56	Drosophila busckii (Fruit fly)	166		CP012524	1 out of 5
A0A0M4EAQ2	CP012524	A0A0M4EAQ2_DROBS		unreviewed	Lig	Dbus_chr2Rg1775	Drosophila busckii (Fruit fly)	1340		CP012524	1 out of 5
A0A0M4EAR2	CP012524	A0A0M4EAR2_DROBS		unreviewed	CG13186	Dbus_chr2Rg1787	Drosophila busckii (Fruit fly)	138		CP012524	1 out of 5
A0A0M4EAR3	CP012524	A0A0M4EAR3_DROBS	GO:0005634; GO:0006355; GO:0043565	unreviewed	Eve	Dbus_chr2Rg69	Drosophila busckii (Fruit fly)	351		CP012524	1 out of 5
A0A0M4EAR7	CP012524	A0A0M4EAR7_DROBS	GO:0005975; GO:0016301; GO:0016773	unreviewed	CG8298	Dbus_chr2Rg1800	Drosophila busckii (Fruit fly)	596		CP012524	1 out of 5
A0A0M4EAS0	CP012524	A0A0M4EAS0_DROBS	GO:0004553; GO:0005576; GO:0005975; GO:0006030; GO:0008061	unreviewed	Cht4 (Fragment)	Dbus_chr2Rg81	Drosophila busckii (Fruit fly)	436		CP012524	1 out of 5
A0A0M4EAS6	CP012524	A0A0M4EAS6_DROBS		unreviewed	CG15701 (Fragment)	Dbus_chr2Rg1813	Drosophila busckii (Fruit fly)	1014		CP012524	1 out of 5
A0A0M4EAS9	CP012524	A0A0M4EAS9_DROBS	GO:0005634; GO:0046982	unreviewed	Mes4	Dbus_chr2Rg94	Drosophila busckii (Fruit fly)	150		CP012524	1 out of 5
A0A0M4EAT6	CP012524	A0A0M4EAT6_DROBS	GO:0005549	unreviewed	Maker105	Dbus_chr2Rg1825	Drosophila busckii (Fruit fly)	132		CP012524	1 out of 5
A0A0M4EAT8	CP012524	A0A0M4EAT8_DROBS	GO:0008146	unreviewed	St4 (Fragment)	Dbus_chr2Rg106	Drosophila busckii (Fruit fly)	348		CP012524	1 out of 5
A0A0M4EAU1	CP012524	A0A0M4EAU1_DROBS		unreviewed	CG13870	Dbus_chr2Rg1837	Drosophila busckii (Fruit fly)	602		CP012524	1 out of 5
A0A0M4EAU6	CP012524	A0A0M4EAU6_DROBS	GO:0000055; GO:0005622; GO:0030036; GO:0042273	unreviewed	Mys45A	Dbus_chr2Rg119	Drosophila busckii (Fruit fly)	714		CP012524	1 out of 5
A0A0M4EAV0	CP012524	A0A0M4EAV0_DROBS	GO:0016021	unreviewed	CG30273 (Fragment)	Dbus_chr2Rg1850	Drosophila busckii (Fruit fly)	119		CP012524	1 out of 5
A0A0M4EAV3	CP012524	A0A0M4EAV3_DROBS		unreviewed	CG6424	Dbus_chr2Rg131	Drosophila busckii (Fruit fly)	796		CP012524	1 out of 5
A0A0M4EAW0	CP012524	A0A0M4EAW0_DROBS		unreviewed	CG30270 (Fragment)	Dbus_chr2Rg1863	Drosophila busckii (Fruit fly)	78		CP012524	1 out of 5
A0A0M4EAW1	CP012524	A0A0M4EAW1_DROBS	GO:0016021	unreviewed	CG11210	Dbus_chr2Rg144	Drosophila busckii (Fruit fly)	769		CP012524	1 out of 5
A0A0M4EAW8	CP012524	A0A0M4EAW8_DROBS		unreviewed	Gem	Dbus_chr2Rg156	Drosophila busckii (Fruit fly)	998		CP012524	1 out of 5
A0A0M4EAW9	CP012524	A0A0M4EAW9_DROBS	GO:0016021; GO:0055085	unreviewed	MFS15 (Fragment)	Dbus_chr2Rg1875	Drosophila busckii (Fruit fly)	487		CP012524	1 out of 5
A0A0M4EAX7	CP012524	A0A0M4EAX7_DROBS		unreviewed	CG12911 (Fragment)	Dbus_chr2Rg169	Drosophila busckii (Fruit fly)	418		CP012524	1 out of 5
A0A0M4EAX8	CP012524	A0A0M4EAX8_DROBS	GO:0005739; GO:0032981	unreviewed	CG42380	Dbus_chr2Rg1887	Drosophila busckii (Fruit fly)	65		CP012524	1 out of 5
A0A0M4EAY5	CP012524	A0A0M4EAY5_DROBS	GO:0046983	unreviewed	HLH54F	Dbus_chr2Rg1900	Drosophila busckii (Fruit fly)	244		CP012524	1 out of 5
A0A0M4EAZ0	CP012524	A0A0M4EAZ0_DROBS	GO:0010181; GO:0016491	unreviewed	CG18003	Dbus_chr2Rg181	Drosophila busckii (Fruit fly)	386		CP012524	1 out of 5
A0A0M4EAZ3	CP012524	A0A0M4EAZ3_DROBS	GO:0005524; GO:0005622; GO:0016307; GO:0035556; GO:0046872	unreviewed	Fab1 (Fragment)	Dbus_chr2Rg1913	Drosophila busckii (Fruit fly)	1731		CP012524	1 out of 5
A0A0M4EAZ8	CP012524	A0A0M4EAZ8_DROBS	GO:0003676	unreviewed	Maker14	Dbus_chr2Rg194	Drosophila busckii (Fruit fly)	353		CP012524	1 out of 5
A0A0M4EB01	CP012524	A0A0M4EB01_DROBS	GO:0016021	unreviewed	Tetraspanin	Dbus_chr2Rg1925	Drosophila busckii (Fruit fly)	222		CP012524	1 out of 5
A0A0M4EB07	CP012524	A0A0M4EB07_DROBS	GO:0005675; GO:0006289; GO:0061575	unreviewed	Mat1	Dbus_chr2Rg206	Drosophila busckii (Fruit fly)	320		CP012524	1 out of 5
A0A0M4EB09	CP012524	A0A0M4EB09_DROBS	GO:0003723	unreviewed	CG4612	Dbus_chr2Rg1937	Drosophila busckii (Fruit fly)	303		CP012524	1 out of 5
A0A0M4EB15	CP012524	A0A0M4EB15_DROBS	GO:0004347; GO:0006094; GO:0006096	unreviewed	Glucose-6-phosphate isomerase (EC 5.3.1.9)	Dbus_chr2Rg219	Drosophila busckii (Fruit fly)	558		CP012524	2 out of 5
A0A0M4EB16	CP012524	A0A0M4EB16_DROBS	GO:0016021	unreviewed	CG3829	Dbus_chr2Rg1950	Drosophila busckii (Fruit fly)	579		CP012524	1 out of 5
A0A0M4EB22	CP012524	A0A0M4EB22_DROBS		unreviewed	Gcl	Dbus_chr2Rg231	Drosophila busckii (Fruit fly)	578		CP012524	1 out of 5
A0A0M4EB25	CP012524	A0A0M4EB25_DROBS		unreviewed	CG34005	Dbus_chr2Rg1963	Drosophila busckii (Fruit fly)	190		CP012524	1 out of 5
A0A0M4EB30	CP012524	A0A0M4EB30_DROBS		unreviewed	CG15067	Dbus_chr2Rg1975	Drosophila busckii (Fruit fly)	128		CP012524	1 out of 5
A0A0M4EB33	CP012524	A0A0M4EB33_DROBS		unreviewed	CG7686	Dbus_chr2Rg244	Drosophila busckii (Fruit fly)	485		CP012524	1 out of 5
A0A0M4EB40	CP012524	A0A0M4EB40_DROBS		unreviewed	CG30118	Dbus_chr2Rg1987	Drosophila busckii (Fruit fly)	528		CP012524	1 out of 5
A0A0M4EB42	CP012524	A0A0M4EB42_DROBS	GO:0004843; GO:0016579	unreviewed	CG3781	Dbus_chr2Rg256	Drosophila busckii (Fruit fly)	193		CP012524	1 out of 5
A0A0M4EB51	CP012524	A0A0M4EB51_DROBS		unreviewed	CG8800	Dbus_chr2Rg2000	Drosophila busckii (Fruit fly)	188		CP012524	1 out of 5
A0A0M4EB52	CP012524	A0A0M4EB52_DROBS		unreviewed	Maker15	Dbus_chr2Rg269	Drosophila busckii (Fruit fly)	113		CP012524	1 out of 5
A0A0M4EB59	CP012524	A0A0M4EB59_DROBS	GO:0005794	unreviewed	Maker117	Dbus_chr2Rg2013	Drosophila busckii (Fruit fly)	772		CP012524	1 out of 5
A0A0M4EB64	CP012524	A0A0M4EB64_DROBS	GO:0005615	unreviewed	Spn47C	Dbus_chr2Rg281	Drosophila busckii (Fruit fly)	400		CP012524	1 out of 5
A0A0M4EB67	CP012524	A0A0M4EB67_DROBS		unreviewed	Lectin-46Cb (Fragment)	Dbus_chr2Rg2025	Drosophila busckii (Fruit fly)	333		CP012524	1 out of 5
A0A0M4EB72	CP012524	A0A0M4EB72_DROBS	GO:0003743; GO:0005852	unreviewed	CG9769	Dbus_chr2Rg294	Drosophila busckii (Fruit fly)	316		CP012524	1 out of 5
A0A0M4EB76	CP012524	A0A0M4EB76_DROBS	GO:0016021	unreviewed	CG13016 (Fragment)	Dbus_chr2Rg2037	Drosophila busckii (Fruit fly)	416		CP012524	1 out of 5
A0A0M4EB80	CP012524	A0A0M4EB80_DROBS		unreviewed	CG4975	Dbus_chr2Rg306	Drosophila busckii (Fruit fly)	427		CP012524	1 out of 5
A0A0M4EB86	CP012524	A0A0M4EB86_DROBS	GO:0003677; GO:0003700; GO:0016021	unreviewed	CG3328 (Fragment)	Dbus_chr2Rg2050	Drosophila busckii (Fruit fly)	1373		CP012524	1 out of 5
A0A0M4EB88	CP012524	A0A0M4EB88_DROBS	GO:0000027; GO:0005524; GO:0005634; GO:0016887	unreviewed	Midasin	Dbus_chr2Rg319	Drosophila busckii (Fruit fly)	5437		CP012524	2 out of 5
A0A0M4EB94	CP012524	A0A0M4EB94_DROBS	GO:0005524	unreviewed	CG8520	Dbus_chr2Rg2063	Drosophila busckii (Fruit fly)	464		CP012524	1 out of 5
A0A0M4EB96	CP012524	A0A0M4EB96_DROBS	GO:0008289; GO:0016021	unreviewed	Start1 (Fragment)	Dbus_chr2Rg331	Drosophila busckii (Fruit fly)	579		CP012524	1 out of 5
A0A0M4EBA2	CP012524	A0A0M4EBA2_DROBS		unreviewed	Maker123	Dbus_chr2Rg2075	Drosophila busckii (Fruit fly)	96		CP012524	1 out of 5
A0A0M4EBA4	CP012524	A0A0M4EBA4_DROBS		unreviewed	Clos	Dbus_chr2Rg344	Drosophila busckii (Fruit fly)	1536		CP012524	1 out of 5
A0A0M4EBB1	CP012524	A0A0M4EBB1_DROBS		unreviewed	CG3746	Dbus_chr2Rg2087	Drosophila busckii (Fruit fly)	150		CP012524	1 out of 5
A0A0M4EBB2	CP012524	A0A0M4EBB2_DROBS	GO:0004252	unreviewed	CG34350 (Fragment)	Dbus_chr2Rg356	Drosophila busckii (Fruit fly)	985		CP012524	1 out of 5
A0A0M4EBB6	CP012524	A0A0M4EBB6_DROBS		unreviewed	CG30324	Dbus_chr2Rg2100	Drosophila busckii (Fruit fly)	164		CP012524	1 out of 5
A0A0M4EBC0	CP012524	A0A0M4EBC0_DROBS		unreviewed	CG3884 (Fragment)	Dbus_chr2Rg369	Drosophila busckii (Fruit fly)	466		CP012524	1 out of 5
A0A0M4EBC2	CP012524	A0A0M4EBC2_DROBS	GO:0003676	unreviewed	CG17385	Dbus_chr2Rg2113	Drosophila busckii (Fruit fly)	275		CP012524	1 out of 5
A0A0M4EBC6	CP012524	A0A0M4EBC6_DROBS	GO:0004252; GO:0008240	unreviewed	TppII	Dbus_chr2Rg381	Drosophila busckii (Fruit fly)	1463		CP012524	1 out of 5
A0A0M4EBD0	CP012524	A0A0M4EBD0_DROBS	GO:0005912; GO:0030950; GO:0042249; GO:0051015; GO:0090251	unreviewed	Shroom	Dbus_chr2Rg2125	Drosophila busckii (Fruit fly)	1445		CP012524	1 out of 5
A0A0M4EBD3	CP012524	A0A0M4EBD3_DROBS	GO:0005737; GO:0060285; GO:0070286	unreviewed	Protein kintoun (Dynein assembly factor 2, axonemal homolog) (PP1-interacting protein 20)	Nop17l Ppi20 Dbus_chr2Rg394	Drosophila busckii (Fruit fly)	874		CP012524	2 out of 5
A0A0M4EBD8	CP012524	A0A0M4EBD8_DROBS	GO:0033961	unreviewed	Jheh2 (Fragment)	Dbus_chr2Rg2137	Drosophila busckii (Fruit fly)	459		CP012524	1 out of 5
A0A0M4EBE1	CP012524	A0A0M4EBE1_DROBS	GO:0003824; GO:0008152	unreviewed	CG11333	Dbus_chr2Rg406	Drosophila busckii (Fruit fly)	194		CP012524	1 out of 5
A0A0M4EBE6	CP012524	A0A0M4EBE6_DROBS	GO:0005576; GO:0042742	unreviewed	DptB	Dbus_chr2Rg2142 Dbus_chr2Rg2150	Drosophila busckii (Fruit fly)	117		CP012524	1 out of 5
A0A0M4EBE7	CP012524	A0A0M4EBE7_DROBS	GO:0003777; GO:0005524; GO:0007018; GO:0008017	unreviewed	Cos	Dbus_chr2Rg419	Drosophila busckii (Fruit fly)	1180		CP012524	1 out of 5
A0A0M4EBF3	CP012524	A0A0M4EBF3_DROBS	GO:0016021	unreviewed	CG8735	Dbus_chr2Rg2163	Drosophila busckii (Fruit fly)	350		CP012524	1 out of 5
A0A0M4EBF5	CP012524	A0A0M4EBF5_DROBS	GO:0003924; GO:0005525; GO:0007165; GO:0016020	unreviewed	KappaB-Ras	Dbus_chr2Rg431	Drosophila busckii (Fruit fly)	209		CP012524	1 out of 5
A0A0M4EBG1	CP012524	A0A0M4EBG1_DROBS	GO:0016021	unreviewed	CG10936 (Fragment)	Dbus_chr2Rg2175	Drosophila busckii (Fruit fly)	1492		CP012524	1 out of 5
A0A0M4EBG2	CP012524	A0A0M4EBG2_DROBS	GO:0016021	unreviewed	CG15657 (Fragment)	Dbus_chr2Rg444	Drosophila busckii (Fruit fly)	71		CP012524	1 out of 5
A0A0M4EBH0	CP012524	A0A0M4EBH0_DROBS	GO:0003723	unreviewed	TBPH	Dbus_chr2Rg2187	Drosophila busckii (Fruit fly)	576		CP012524	1 out of 5
A0A0M4EBH4	CP012524	A0A0M4EBH4_DROBS		unreviewed	CG30116	Dbus_chr2Rg456	Drosophila busckii (Fruit fly)	1899		CP012524	1 out of 5
A0A0M4EBH8	CP012524	A0A0M4EBH8_DROBS	GO:0005761; GO:0032543	unreviewed	CG12848	Dbus_chr2Rg469	Drosophila busckii (Fruit fly)	120		CP012524	1 out of 5
A0A0M4EBI1	CP012524	A0A0M4EBI1_DROBS	GO:0046872	unreviewed	Lpt	Dbus_chr2Rg2200	Drosophila busckii (Fruit fly)	1428		CP012524	1 out of 5
A0A0M4EBI8	CP012524	A0A0M4EBI8_DROBS	GO:0016020	unreviewed	CG2970 (Fragment)	Dbus_chr2Rg2213	Drosophila busckii (Fruit fly)	358		CP012524	1 out of 5
A0A0M4EBJ0	CP012524	A0A0M4EBJ0_DROBS	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046983	unreviewed	Dpn	Dbus_chr2Rg481	Drosophila busckii (Fruit fly)	457		CP012524	1 out of 5
A0A0M4EBJ7	CP012524	A0A0M4EBJ7_DROBS	GO:0004017; GO:0005524; GO:0005758; GO:0005829; GO:0006172; GO:0046033; GO:0046034	unreviewed	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	Adk2 Dbus_chr2Rg2225	Drosophila busckii (Fruit fly)	239		CP012524	3 out of 5
A0A0M4EBJ8	CP012524	A0A0M4EBJ8_DROBS	GO:0016021	unreviewed	CG2121	Dbus_chr2Rg494	Drosophila busckii (Fruit fly)	507		CP012524	1 out of 5
A0A0M4EBK4	CP012524	A0A0M4EBK4_DROBS	GO:0003824; GO:0005975	unreviewed	Mal-A3	Dbus_chr2Rg506	Drosophila busckii (Fruit fly)	576		CP012524	1 out of 5
A0A0M4EBK5	CP012524	A0A0M4EBK5_DROBS	GO:0003924; GO:0005525; GO:0007165; GO:0016020	unreviewed	Rap2l (Fragment)	Dbus_chr2Rg2237	Drosophila busckii (Fruit fly)	176		CP012524	1 out of 5
A0A0M4EBL2	CP012524	A0A0M4EBL2_DROBS	GO:0004222; GO:0005524; GO:0016021	unreviewed	CG3499	Dbus_chr2Rg519	Drosophila busckii (Fruit fly)	767		CP012524	1 out of 5
A0A0M4EBL3	CP012524	A0A0M4EBL3_DROBS		unreviewed	CG8343	Dbus_chr2Rg2250	Drosophila busckii (Fruit fly)	171		CP012524	1 out of 5
A0A0M4EBM1	CP012524	A0A0M4EBM1_DROBS	GO:0004721; GO:0046872	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	Dbus_chr2Rg531	Drosophila busckii (Fruit fly)	339		CP012524	1 out of 5
A0A0M4EBM2	CP012524	A0A0M4EBM2_DROBS	GO:0005524; GO:0006457; GO:0006950; GO:0051082	unreviewed	Trap1	Dbus_chr2Rg2263	Drosophila busckii (Fruit fly)	686		CP012524	1 out of 5
A0A0M4EBN1	CP012524	A0A0M4EBN1_DROBS		unreviewed	CG13488	Dbus_chr2Rg544	Drosophila busckii (Fruit fly)	199		CP012524	1 out of 5
A0A0M4EBN2	CP012524	A0A0M4EBN2_DROBS	GO:0046872	unreviewed	Sara	Dbus_chr2Rg2275	Drosophila busckii (Fruit fly)	1277		CP012524	1 out of 5
A0A0M4EBN8	CP012524	A0A0M4EBN8_DROBS		unreviewed	Abo (Fragment)	Dbus_chr2Rg556	Drosophila busckii (Fruit fly)	540		CP012524	1 out of 5
A0A0M4EBN9	CP012524	A0A0M4EBN9_DROBS	GO:0016021	unreviewed	CG15673	Dbus_chr2Rg2287	Drosophila busckii (Fruit fly)	196		CP012524	1 out of 5
A0A0M4EBP5	CP012524	A0A0M4EBP5_DROBS		unreviewed	CG30458	Dbus_chr2Rg569	Drosophila busckii (Fruit fly)	105		CP012524	1 out of 5
A0A0M4EBP6	CP012524	A0A0M4EBP6_DROBS		unreviewed	Oseg6	Dbus_chr2Rg2300	Drosophila busckii (Fruit fly)	1369		CP012524	1 out of 5
A0A0M4EBQ3	CP012524	A0A0M4EBQ3_DROBS	GO:0016021; GO:0042981	unreviewed	Buffy	Dbus_chr2Rg581	Drosophila busckii (Fruit fly)	300		CP012524	1 out of 5
A0A0M4EBQ4	CP012524	A0A0M4EBQ4_DROBS	GO:0003676	unreviewed	Sm	Dbus_chr2Rg2313	Drosophila busckii (Fruit fly)	202		CP012524	1 out of 5
A0A0M4EBQ7	CP012524	A0A0M4EBQ7_DROBS		unreviewed	CG6280	Dbus_chr2Rg594	Drosophila busckii (Fruit fly)	988		CP012524	1 out of 5
A0A0M4EBR3	CP012524	A0A0M4EBR3_DROBS	GO:0016021	unreviewed	CG30379	Dbus_chr2Rg2325	Drosophila busckii (Fruit fly)	305		CP012524	1 out of 5
A0A0M4EBR5	CP012524	A0A0M4EBR5_DROBS		unreviewed	CG14762	Dbus_chr2Rg606	Drosophila busckii (Fruit fly)	504		CP012524	1 out of 5
A0A0M4EBS1	CP012524	A0A0M4EBS1_DROBS		unreviewed	CG15127	Dbus_chr2Rg2337	Drosophila busckii (Fruit fly)	80		CP012524	1 out of 5
A0A0M4EBS2	CP012524	A0A0M4EBS2_DROBS		unreviewed	Asx (Fragment)	Dbus_chr2Rg619	Drosophila busckii (Fruit fly)	1072		CP012524	1 out of 5
A0A0M4EBT0	CP012524	A0A0M4EBT0_DROBS		unreviewed	CG3121	Dbus_chr2Rg2350	Drosophila busckii (Fruit fly)	709		CP012524	1 out of 5
A0A0M4EBT2	CP012524	A0A0M4EBT2_DROBS	GO:0003924; GO:0005525	unreviewed	Rab4	Dbus_chr2Rg631	Drosophila busckii (Fruit fly)	213		CP012524	1 out of 5
A0A0M4EBT9	CP012524	A0A0M4EBT9_DROBS	GO:0005975; GO:0016868	unreviewed	CG10202	Dbus_chr2Rg644	Drosophila busckii (Fruit fly)	621		CP012524	1 out of 5
A0A0M4EBU2	CP012524	A0A0M4EBU2_DROBS	GO:0005794	unreviewed	GM130	Dbus_chr2Rg2375	Drosophila busckii (Fruit fly)	1348		CP012524	1 out of 5
A0A0M4EBU7	CP012524	A0A0M4EBU7_DROBS		unreviewed	CG6520	Dbus_chr2Rg656	Drosophila busckii (Fruit fly)	161		CP012524	1 out of 5
A0A0M4EBV2	CP012524	A0A0M4EBV2_DROBS	GO:0016021	unreviewed	Ir60b (Fragment)	Dbus_chr2Rg2387	Drosophila busckii (Fruit fly)	572		CP012524	1 out of 5
A0A0M4EBV4	CP012524	A0A0M4EBV4_DROBS		unreviewed	Cnk	Dbus_chr2Rg669	Drosophila busckii (Fruit fly)	1589		CP012524	1 out of 5
A0A0M4EBW2	CP012524	A0A0M4EBW2_DROBS	GO:0005634; GO:0006355; GO:0007275; GO:0043565	unreviewed	Homeobox protein engrailed-like	Dbus_chr2Rg681	Drosophila busckii (Fruit fly)	590		CP012524	2 out of 5
A0A0M4EBW3	CP012524	A0A0M4EBW3_DROBS	GO:0003677	unreviewed	CG16778	Dbus_chr2Rg2400	Drosophila busckii (Fruit fly)	975		CP012524	1 out of 5
A0A0M4EBW8	CP012524	A0A0M4EBW8_DROBS	GO:0003676	unreviewed	CG18446 (Fragment)	Dbus_chr2Rg694	Drosophila busckii (Fruit fly)	64		CP012524	1 out of 5
A0A0M4EBX3	CP012524	A0A0M4EBX3_DROBS	GO:0016021	unreviewed	CG34162	Dbus_chr2Rg2413	Drosophila busckii (Fruit fly)	466		CP012524	1 out of 5
A0A0M4EBX7	CP012524	A0A0M4EBX7_DROBS	GO:0016021	unreviewed	CG17048	Dbus_chr2Rg706	Drosophila busckii (Fruit fly)	106		CP012524	1 out of 5
A0A0M4EBY4	CP012524	A0A0M4EBY4_DROBS	GO:0003951; GO:0006741; GO:0019674	unreviewed	CG8080 (Fragment)	Dbus_chr2Rg719	Drosophila busckii (Fruit fly)	404		CP012524	1 out of 5
A0A0M4EBZ2	CP012524	A0A0M4EBZ2_DROBS		unreviewed	Alpha-Est1	Dbus_chr2Rg731	Drosophila busckii (Fruit fly)	566		CP012524	1 out of 5
A0A0M4EC04	CP012524	A0A0M4EC04_DROBS	GO:0003924; GO:0005525; GO:0005622; GO:0007264; GO:0016020	unreviewed	Rho1	Dbus_chr2Rg744	Drosophila busckii (Fruit fly)	193		CP012524	1 out of 5
A0A0M4EC11	CP012524	A0A0M4EC11_DROBS	GO:0004613; GO:0005525; GO:0006094	unreviewed	CG10924 (Fragment)	Dbus_chr2Rg756	Drosophila busckii (Fruit fly)	636		CP012524	1 out of 5
A0A0M4EC21	CP012524	A0A0M4EC21_DROBS	GO:0016021	unreviewed	CG34370 (Fragment)	Dbus_chr2Rg769	Drosophila busckii (Fruit fly)	897		CP012524	1 out of 5
